hbid_id,hbid_id_ds,basin_name,hbid_name,catchment,catch_ds,area_km2,country,brazil_UF,basin_ID,lat,lon,ds_lat,ds_lon
4015,-999,"Northeast South America, South Atlantic Coast",Courantyne 1,c4015,outlet,2656.3883813163393,Suriname,,AMZ_OTCA,5.220913183973414,-57.27541084914435,,
4017,4015,"Northeast South America, South Atlantic Coast",Courantyne 2,c4017,c4015,9129.53513781462,Suriname,,AMZ_OTCA,4.148512012495904,-57.81012260854736,5.220913183973414,-57.27541084914435
4022,-999,"Northeast South America, South Atlantic Coast",Coppename,c4022,outlet,21121.640333102354,Suriname,,AMZ_OTCA,4.722373183940021,-56.20086387779669,,
4024,-999,"Northeast South America, South Atlantic Coast",Suriname,c4024,outlet,16760.536968311473,Suriname,,AMZ_OTCA,4.399156172708249,-55.3754614443348,,
4036,-999,"Northeast South America, South Atlantic Coast",Araguari 1,c4036,outlet,12424.78329833989,Brazil,AP,AMZ_OTCA,1.2302465000215663,-50.74803798997685,,
6043,-999,Tocantins,Acara,c6043,outlet,13296.332948851006,Brazil,PA,AMZ_OTCA,-2.560367635474947,-48.45877775764683,,
6045,-999,Tocantins,Guama,c6045,outlet,12908.914112803717,Brazil,PA,AMZ_OTCA,-1.8053845256478251,-47.50429301854845,,
7004,-999,"North Brazil, South Atlantic Coast",Turiacu,c7004,outlet,13297.479797017704,Brazil,MA,AMZ_OTCA,-2.572539589497956,-45.60858764481465,,
4016,4015,"Northeast South America, South Atlantic Coast",Kabalebo,c4016,c4015,9617.343939548187,Suriname,,AMZ_OTCA,4.2399921239732254,-57.360337058321505,5.220913183973414,-57.27541084914435
4020,4017,"Northeast South America, South Atlantic Coast",Lucie,c4020,c4017,10006.118145084969,Suriname,,AMZ_OTCA,3.332649512803026,-56.74893467262917,4.148512012495904,-57.81012260854736
4038,4036,"Northeast South America, South Atlantic Coast",Araguari 2,c4038,c4036,15379.37337659861,Brazil,AP,AMZ_OTCA,1.6183392132062255,-51.81484968164482,1.2302465000215663,-50.74803798997685
7007,7006,"North Brazil, South Atlantic Coast",Zutiua,c7007,c7006,9937.913056920457,Brazil,MA,AMZ_OTCA,-4.524235765661549,-45.96786908097327,-4.246407458430662,-46.358127579831915
12096,12094,La Plata,Cabacal,c12096,c12094,5603.333163875568,Brazil,MT,AMZ_OTCA,-15.251996435718295,-58.13953451962724,-16.515700909895983,-57.21863847299153
5034,5030,Amazon,Maicuru,c5034,c5030,16133.358520008118,Brazil,PA,Main_AMZ,-1.007900835205564,-54.42483503186972,-1.887029834097949,-53.472306291398326
5037,5036,Amazon,Ipitinga,c5037,c5036,9590.787454649218,Brazil,PA,Main_AMZ,0.6767243147791585,-53.787248332980646,-0.38340064895920273,-52.709127156096905
5218,5216,Amazon,Urucu,c5218,c5216,14541.3180160206,Brazil,AM,Main_AMZ,-4.484803731188701,-64.53517742651391,-4.117467128949493,-63.60930124880994
5241,5240,Amazon,Gregorio,c5241,c5240,8756.719052083556,Brazil,AC,Jurua,-7.785826996442702,-71.36920452644245,-5.28027433415216,-67.78243754526461
5088,5087,Amazon,Preto,c5088,c5087,10426.372564669593,Brazil,RO,Madeira,-8.925338513229198,-62.794522621460295,-6.857978436401627,-62.51150353779184
5093,5092,Amazon,Guapore 1,c5093,c5092,15329.501571924679,Brazil,RO,Madeira,-12.316021324304005,-63.98402612416816,-11.306819419597767,-65.12494430190343
5100,5093,Amazon,San Julian 1,c5100,c5093,37570.80918392181,Bolivia,,Madeira,-16.047484613990633,-62.72217075061948,-12.316021324304005,-63.98402612416816
5111,5092,Amazon,Mamore 2,c5111,c5092,19258.243532103177,Bolivia,,Madeira,-13.166801460578428,-65.68243526928124,-11.306819419597767,-65.12494430190343
5112,5111,Amazon,Apere,c5112,c5111,14698.0174595564,Bolivia,,Madeira,-14.933133778004507,-66.04632248817687,-13.166801460578428,-65.68243526928124
5113,5111,Amazon,Yacuma,c5113,c5111,12144.306745502285,Bolivia,,Madeira,-14.333765492170864,-66.70206576234129,-13.166801460578428,-65.68243526928124
5092,5091,Amazon,Mamore 1,c5092,c5091,9682.946200095894,Brazil,RO,Madeira,-11.306819419597767,-65.12494430190343,-9.329757085542203,-64.54156724330672
